obs,price,Q_business,Q_leisure
1,20,1632,1807
2,20,1668,1885
3,20,1550,1771
4,20,1508,1926
5,20,1699,1688
6,20,1654,1815
7,20,1680,1846
8,20,1662,1785
9,20,1574,1790
10,20,1478,1772
11,21,1447,1847
12,21,1481,1872
13,21,1557,1792
14,21,1633,1642
15,21,1628,1685
16,21,1517,1845
17,21,1539,1814
18,21,1623,1623
19,21,1751,1785
20,21,1582,1576
21,22,1644,1696
22,22,1596,1877
23,22,1683,1791
24,22,1590,1839
25,22,1477,1633
26,22,1632,1644
27,22,1642,1543
28,22,1533,1910
29,22,1671,1867
30,22,1600,1840
31,23,1532,1579
32,23,1659,1654
33,23,1506,1630
34,23,1621,1649
35,23,1504,1720
36,23,1582,1641
37,23,1629,1763
38,23,1524,1625
39,23,1370,1729
40,23,1471,1576
41,24,1571,1671
42,24,1449,1817
43,24,1544,1694
44,24,1434,1752
45,24,1568,1674
46,24,1414,1870
47,24,1457,1671
48,24,1513,1782
49,24,1404,1615
50,24,1481,1675
51,25,1531,1657
52,25,1291,1444
53,25,1638,1605
54,25,1681,1711
55,25,1336,1565
56,25,1558,1764
57,25,1428,1608
58,25,1410,1668
59,25,1303,1663
60,25,1608,1623
61,26,1675,1349
62,26,1476,1683
63,26,1505,1663
64,26,1327,1620
65,26,1473,1598
66,26,1447,1590
67,26,1405,1718
68,26,1456,1578
69,26,1323,1809
70,26,1502,1579
71,27,1513,1532
72,27,1518,1574
73,27,1431,1679
74,27,1448,1664
75,27,1559,1627
76,27,1464,1689
77,27,1203,1710
78,27,1408,1432
79,27,1385,1608
80,27,1317,1757
81,28,1491,1518
82,28,1282,1505
83,28,1575,1473
84,28,1434,1622
85,28,1546,1418
86,28,1456,1563
87,28,1402,1547
88,28,1435,1556
89,28,1447,1512
90,28,1550,1646
91,29,1384,1579
92,29,1549,1419
93,29,1530,1492
94,29,1497,1702
95,29,1458,1502
96,29,1502,1278
97,29,1391,1561
98,29,1415,1373
99,29,1489,1420
100,29,1493,1487
101,30,1453,1439
102,30,1322,1574
103,30,1529,1578
104,30,1283,1532
105,30,1302,1363
106,30,1273,1346
107,30,1442,1446
108,30,1491,1556
109,30,1404,1498
110,30,1364,1347
111,31,1191,1394
112,31,1273,1500
113,31,1309,1663
114,31,1369,1517
115,31,1388,1464
116,31,1461,1413
117,31,1543,1462
118,31,1602,1462
119,31,1396,1645
120,31,1325,1369
121,32,1538,1580
122,32,1388,1577
123,32,1250,1252
124,32,1296,1527
125,32,1308,1419
126,32,1402,1379
127,32,1287,1502
128,32,1458,1261
129,32,1333,1496
130,32,1186,1335
131,33,1358,1515
132,33,1279,1481
133,33,1263,1354
134,33,1409,1410
135,33,1229,1470
136,33,1240,1401
137,33,1373,1396
138,33,1121,1384
139,33,1296,1370
140,33,1386,1429
141,34,1283,1343
142,34,1419,1437
143,34,1236,1258
144,34,1376,1302
145,34,1313,1484
146,34,1399,1458
147,34,1156,1310
148,34,1431,1329
149,34,1490,1330
150,34,1304,1461
151,35,1231,1404
152,35,1250,1301
153,35,1247,1282
154,35,1274,1362
155,35,1240,1404
156,35,1359,1241
157,35,1359,1456
158,35,1360,1266
159,35,1203,1601
160,35,1422,1406
161,36,1127,1043
162,36,1084,1302
163,36,1370,1146
164,36,1125,1309
165,36,1251,1215
166,36,1431,1268
167,36,1117,1425
168,36,1327,1223
169,36,1039,1217
170,36,1206,1215
171,37,1449,1402
172,37,1266,1295
173,37,1381,1444
174,37,1269,1403
175,37,1214,1223
176,37,1382,1273
177,37,1439,1518
178,37,1252,1179
179,37,1158,1173
180,37,1222,1268
181,38,1263,1197
182,38,1217,1391
183,38,1383,1288
184,38,1241,1112
185,38,1238,1208
186,38,1224,1291
187,38,1223,1375
188,38,1188,1153
189,38,1415,1389
190,38,1280,1019
191,39,1231,1217
192,39,1356,1305
193,39,1257,1164
194,39,1346,1210
195,39,1272,1404
196,39,1240,1179
197,39,1446,1240
198,39,1157,1140
199,39,1156,1202
200,39,1260,1165
201,40,1378,1134
202,40,1024,960
203,40,1192,1137
204,40,1080,1275
205,40,1190,1179
206,40,1191,1230
207,40,1231,1362
208,40,1078,1381
209,40,1324,1287
210,40,1320,1366
211,41,1304,1004
212,41,1149,1306
213,41,1098,1343
214,41,1123,1155
215,41,1190,1216
216,41,1138,1211
217,41,1111,1233
218,41,1081,1035
219,41,1187,1277
220,41,1149,1211
221,42,1086,1165
222,42,1080,1229
223,42,1225,1213
224,42,1365,1199
225,42,1045,1083
226,42,899,1193
227,42,1200,1138
228,42,1150,1126
229,42,1211,1187
230,42,1058,1152
231,43,1131,1072
232,43,1049,1309
233,43,1147,1057
